FID,OBJECTID,barcode,species_co,fish_count,site_alias,start_date,start_time,finish_date,finish_time,adj_lat,adj_long1,water_dept,water_temp,code_meani,common_nam,code,family_nam,scientific,taxonomic_,code_statu,adj_long2,x,y,code_mean
25,26,040811BRPLtra04,CARP,7,BRPLN04,4/8/2011,0:00:00,4/8/2011,0:00:00,41.55255,41.55255,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07920074,910435.0281,4611804.481, 
28,29,040811BRPLtra03,CARP,4,BRPLN03,4/8/2011,5:45:00,4/8/2011,0:00:00,41.539567,41.539567,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08209991,910275.4368,4610348.657, 
32,33,040811BRPLtra01,CARP,1,BRPLN01,4/8/2011,6:15:00,4/8/2011,0:00:00,41.517217,41.517217,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08879852,909852.1349,4607834.059, 
35,36,040811BRPLtra02,CARP,107,BRPLN02,4/8/2011,7:30:00,4/8/2011,0:00:00,41.509267,41.509267,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09220123,909618.9745,4606934.923, 
6,7,052411BRPLefd01,CARP,2,BRPLE01,5/24/2011,16:41:00,5/24/2011,0:00:00,41.5671,41.5671,0,21.66,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07779694,910454.7282,4613426.942, 
12,13,052411BRPLefd03,CARP,2,BRPLE03,5/24/2011,17:30:00,5/24/2011,0:00:00,41.5412,41.5412,0,21.66,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.08239746,910236.4379,4610528.398, 
19,20,052411BRPLefd04,CARP,40,BRPLE04,5/24/2011,17:55:00,5/24/2011,0:00:00,41.5097,41.5097,0,21.11,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09190369,909648.0856,4606984.829, 
20,21,052511BRPLtra01,CARP,59,BRPLN01,5/25/2011,5:21:00,5/25/2011,0:00:00,41.507367,41.507367,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09470367,909420.7792,4606711.933, 
24,25,052511BRPLtra04,CARP,1,BRPLN04,5/25/2011,6:45:00,5/25/2011,0:00:00,41.553083,41.553083,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.0786972,910467.9296,4611865.753, 
36,37,052511BRPLtra02,CARP,4,BRPLN02,5/25/2011,5:55:00,5/25/2011,0:00:00,41.509933,41.509933,0,0,Commercial trammel net,Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.09249878,909593.7452,4607007.699, 
22,23,062111BRPLefd02,CARP,14,BRPLE02,6/21/2011,0:00:00,6/21/2011,0:00:00,41.556412,41.556412,0,0,Day electrofishing (DC),Common carp,CARP,Cyprinidae,Cyprinus carpio,Fish,Species,-88.07779694,910526.3731,4612240.049, 
